classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Logistic Regression,s41,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9804615384615385,0.9807735127456587,0.9804615384615385
Naive Bayes,s42,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8986153846153846,0.9017455456366527,0.8986153846153846
Support Vector Machines,s42,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9658461538461538,0.9660345791136828,0.9658461538461538
Logistic Regression,s42,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9641538461538461,0.9640629780775649,0.9641538461538461
Naive Bayes,s43,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9026153846153846,0.9062523443425986,0.9026153846153846
Support Vector Machines,s43,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9618461538461538,0.9622651800587405,0.9618461538461538
Logistic Regression,s43,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9644615384615385,0.9647070613980734,0.9644615384615385
Naive Bayes,s44,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9316923076923078,0.9377796269481593,0.9316923076923078
Support Vector Machines,s44,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9829230769230769,0.9826643690536232,0.9829230769230769
Logistic Regression,s44,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9813846153846153,0.9816970844087161,0.9813846153846153
Naive Bayes,s45,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9333846153846153,0.9389841797114823,0.9333846153846153
Support Vector Machines,s45,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9827692307692308,0.9821735285882054,0.9827692307692308
Logistic Regression,s45,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9816923076923076,0.9818987419558057,0.9816923076923076
Naive Bayes,s46,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8946153846153846,0.8979327720181052,0.8946153846153846
Support Vector Machines,s46,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9643076923076922,0.9644858995481007,0.9643076923076922
Logistic Regression,s46,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9655384615384615,0.9655922073476686,0.9655384615384615
Naive Bayes,s47,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9041538461538462,0.9077249868309931,0.9041538461538462
Support Vector Machines,s47,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9669230769230769,0.9672024427921722,0.9669230769230769
Logistic Regression,s47,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9649230769230769,0.9652739762260587,0.9649230769230769
Naive Bayes,s48,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9227692307692308,0.9299768207659136,0.9227692307692308
