classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s39,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7007352941176471,0.7022339795832686,0.7007352941176471
Support Vector Machines,s39,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9020220588235294,0.9141325440621481,0.9020220588235294
Logistic Regression,s39,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8637867647058824,0.8731791173380247,0.8637867647058824
Naive Bayes,s40,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8034926470588235,0.8075478690482407,0.8034926470588235
Support Vector Machines,s40,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9428308823529413,0.9421157884433388,0.9428308823529413
Logistic Regression,s40,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9349264705882353,0.9365563654731325,0.9349264705882353
Naive Bayes,s41,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8040441176470587,0.8065361749937201,0.8040441176470587
Support Vector Machines,s41,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9439338235294119,0.944114000900824,0.9439338235294119
Logistic Regression,s41,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9351102941176471,0.9353463838247624,0.9351102941176471
Naive Bayes,s42,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7529411764705883,0.7543863432794498,0.7529411764705883
Support Vector Machines,s42,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9170955882352942,0.9255583144249521,0.9170955882352942
Logistic Regression,s42,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9016544117647058,0.9064208392971362,0.9016544117647058
Naive Bayes,s43,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7422794117647058,0.739511042187069,0.7422794117647058
Support Vector Machines,s43,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9079044117647059,0.9161776000500643,0.9079044117647059
Logistic Regression,s43,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8959558823529411,0.8997053737728196,0.8959558823529411
Naive Bayes,s44,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7371323529411765,0.741378768446452,0.7371323529411765
Support Vector Machines,s44,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9257352941176471,0.9298035308597242,0.9257352941176471
